"node","com_name","networktype"
"HOL_MB253","CPM_K3_01",3
"HOL_MBRU","CPM_K3_01",3
"HOL_MBUF","CPM_K3_01",3
"HOL_MRBR","CPM_K3_01",3
"HOL_PALZ","CPM_K3_01",3
"HOL_SQUS","CPM_K3_01",3
"HOL_TATE","CPM_K3_01",3
"HOL_TMB11","CPM_K3_01",3
"HOL_TMB12","CPM_K3_01",3
"HOL_TRMB32","CPM_K3_01",3
"HOL_TRPB","CPM_K3_01",3
"HOL_TRRB","CPM_K3_01",3
"HOL_TRRS","CPM_K3_01",3
"HOL_WEDW","CPM_K3_01",3
"HORB1_Q1","CPM_K3_01",3
"HORB2_Q1","CPM_K3_01",3
"HORB3_Q1","CPM_K3_01",3
"IALP_Q1","CPM_K3_01",3
"MAP_Q1","CPM_K3_01",3
"METZ_Q3","CPM_K3_01",3
"MMB_Q1","CPM_K3_01",3
"NEW_Q1","CPM_K3_01",3
"NOVY_Q1","CPM_K3_01",3
"OFBG_Q1","CPM_K3_01",3
"OSH_Q1","CPM_K3_01",3
"OSND_Q1","CPM_K3_01",3
"POM4_Q1","CPM_K3_01",3
"SAND_Q1","CPM_K3_01",3
"SARR6_Q1","CPM_K3_01",3
"SAUL_Q1","CPM_K3_01",3
"SILL_Q2","CPM_K3_01",3
"SWP_Q1","CPM_K3_01",3
"TROY_Q1","CPM_K3_01",3
"VALK_Q1","CPM_K3_01",3
"VALK_Q2","CPM_K3_01",3
"VDM2W_Q1","CPM_K3_01",3
"VDMLR_Q1","CPM_K3_01",3
"VDMLR_Q2","CPM_K3_01",3
"VDMWL_Q1","CPM_K3_01",3
"VDMWL_Q3","CPM_K3_01",3
"VEN_Q1","CPM_K3_01",3
"VEND_Q1","CPM_K3_01",3
"VEND_Q3","CPM_K3_01",3
"VFH_Q1","CPM_K3_01",3
"VFH_Q2","CPM_K3_01",3
"VNW_Q1","CPM_K3_01",3
"VRW_Q1","CPM_K3_01",3
"ALC_Q1","CPM_K3_02",3
"BSN_Q1","CPM_K3_02",3
"C5A_Q1","CPM_K3_02",3
"ELS_Q1","CPM_K3_02",3
"IJS_Q1","CPM_K3_02",3
"LRB_Q1","CPM_K3_02",3
"NWH_Q1","CPM_K3_02",3
"SPR_Q1","CPM_K3_02",3
"VDMM_Q1","CPM_K3_02",3
"VDMWL_Q2","CPM_K3_02",3
"VEL_Q2","CPM_K3_02",3
"VOW_Q1","CPM_K3_02",3
"VZS_Q1","CPM_K3_02",3
"HOL_TITE","CPM_K3_03",3
"ILLA_Q1","CPM_K3_03",3
"TROY_Q1","CPM_K3_03",3
"CAO_Q1","CPM_K3_04",3
"OSP_Q1","CPM_K3_04",3
"RAT_Q1","CPM_K3_04",3
"ZLF_Q1","CPM_K3_04",3
"388_Q1","CPM_K3_05",3
"600_Q1","CPM_K3_05",3
"DMN1_Q1","CPM_K3_05",3
"MB_Q1","CPM_K3_05",3
"MEK_Q1","CPM_K3_05",3
"NOVY_Q2","CPM_K3_05",3
"ABC_Q1","CPM_K3_06",3
"DIF_Q1","CPM_K3_06",3
"WEF_Q1","CPM_K3_06",3
"1AH_Q1","CPM_K3_07",3
"CUY_Q1","CPM_K3_07",3
"GENP_Q1","CPM_K3_07",3
"068_Q1","CPM_K4_01",3
"068_Q2","CPM_K4_01",3
"195_Q1","CPM_K4_01",3
"1DH_Q1","CPM_K4_01",3
"1GDGem","CPM_K4_01",3
"1TN_Q1","CPM_K4_01",3
"563_Q1","CPM_K4_01",3
"587_Q1","CPM_K4_01",3
"BECRAA","CPM_K4_01",3
"BECRKO","CPM_K4_01",3
"C4A_Q1","CPM_K4_01",3
"DMN1_Q3","CPM_K4_01",3
"ELT_Q1","CPM_K4_01",3
"FLEV1_Q1","CPM_K4_01",3
"FLOR_Q2","CPM_K4_01",3
"HOL_AAHO","CPM_K4_01",3
"HOL_KBMB","CPM_K4_01",3
"HOL_LKBB","CPM_K4_01",3
"HOL_LKSB","CPM_K4_01",3
"HOL_MBRU","CPM_K4_01",3
"HOL_MBUF","CPM_K4_01",3
"HOL_MRBR","CPM_K4_01",3
"HOL_PALZ","CPM_K4_01",3
"HOL_TMB12","CPM_K4_01",3
"HOL_TRRB","CPM_K4_01",3
"HOL_TRRS","CPM_K4_01",3
"HORB3_Q1","CPM_K4_01",3
"IALP_Q1","CPM_K4_01",3
"MAP_Q1","CPM_K4_01",3
"MMB_Q1","CPM_K4_01",3
"SARR6_Q1","CPM_K4_01",3
"SILL_Q2","CPM_K4_01",3
"TROY_Q1","CPM_K4_01",3
"VALK_Q1","CPM_K4_01",3
"VALK_Q2","CPM_K4_01",3
"VDM2W_Q1","CPM_K4_01",3
"VDMLR_Q1","CPM_K4_01",3
"VDMLR_Q2","CPM_K4_01",3
"VDMWL_Q1","CPM_K4_01",3
"VDMWL_Q3","CPM_K4_01",3
"VEN_Q1","CPM_K4_01",3
"VFH_Q2","CPM_K4_01",3
"VNW_Q1","CPM_K4_01",3
"VRW_Q1","CPM_K4_01",3
"ALC_Q1","CPM_K4_02",3
"C5A_Q1","CPM_K4_02",3
"LRB_Q1","CPM_K4_02",3
"SPR_Q1","CPM_K4_02",3
"VDMWL_Q2","CPM_K4_02",3
"VEL_Q2","CPM_K4_02",3
"VZS_Q1","CPM_K4_02",3
"HOL_TRRB","CPM_K4_03",3
"HORB1_Q1","CPM_K4_03",3
"HORB2_Q1","CPM_K4_03",3
"HORB3_Q1","CPM_K4_03",3
"202_Q1","CPM_K4_04",3
"HOL_KORB","CPM_K4_04",3
"HOL_MB253","CPM_K4_04",3
"HOL_TATE","CPM_K4_04",3
"HOL_TMB12","CPM_K4_04",3
"IALP_Q1","CPM_K4_05",3
"NOVY_Q1","CPM_K4_05",3
"SILL_Q2","CPM_K4_05",3
"TROY_Q1","CPM_K4_05",3
"DEU_Q1","CPM_K4_06",3
"EMP_Q1","CPM_K4_06",3
"NEW_Q1","CPM_K4_06",3
"OSND_Q1","CPM_K4_06",3
"068_Q1","CPM_K5_01",3
"195_Q1","CPM_K5_01",3
"1DH_Q1","CPM_K5_01",3
"1GDGem","CPM_K5_01",3
"1TN_Q1","CPM_K5_01",3
"587_Q1","CPM_K5_01",3
"C4A_Q1","CPM_K5_01",3
"DMN1_Q3","CPM_K5_01",3
"ELT_Q1","CPM_K5_01",3
"FLEV1_Q1","CPM_K5_01",3
