site_chronology,species,length,first_year,last_year,author,Site_context,Site_type,site_location_utm_wkt
DAMB_Q1,QUSP,171,-157,14,Visser,Settlement,Civilian,SRID=23031;POINT(828292.915952418 5362082.10158153)
DAMP_Q1,QUSP,220,-292,-73,Visser,Settlement,Civilian,SRID=23031;POINT(631747.804488728 5429224.90414648)
DEU_Q1,QUSP,202,30,231,Visser,Settlement,Civilian,SRID=23031;POINT(692440.84421884 5704368.97888651)
DIF_Q1,QUSP,829,-521,308,Visser,Sub fossil wood,Natural,SRID=23031;POINT(636031.372433426 5799803.04849172)
DIK_Q1,QUSP,132,110,241,Visser,Settlement,Civilian,SRID=23031;POINT(715165.996691833 5758880.34944636)
DMN1_Q1,QUSP,208,-70,138,Visser,Ship,Unknown,SRID=23031;POINT(638516.113076537 5772051.96498317)
DMN1_Q2,QUSP,137,-14,123,Visser,Ship,Unknown,SRID=23031;POINT(638516.113076537 5772051.96498317)
DMN1_Q3,QUSP,216,-78,138,Visser,Ship,Unknown,SRID=23031;POINT(638516.113076537 5772051.96498317)
DMN4_Q1,QUSP,261,-174,87,Visser,Ship,Unknown,SRID=23031;POINT(638713.164108183 5772144.48521549)
DMP_F1,FREX,163,-30,133,Visser,Settlement,Civilian,SRID=23031;POINT(590471.637809179 5762469.61280165)
DMW_A1,ABAL,132,-94,38,Visser,Vicus,Military,SRID=23031;POINT(640184.519885724 5772611.06885422)
DMW_P1,PIAB,167,-127,34,Visser,Vicus,Military,SRID=23031;POINT(640184.519885724 5772611.06885422)
DOUX1_Q1,QUSP,100,309,408,Visser,Settlement,Civilian,SRID=23031;POINT(603272.230876416 5488218.8909983)
